year,zone_id,zone_type,name,image_count,valid_pixel_count,total_pixel_count,valid_coverage_percent
2003,urban_01,urban,Leh urban settlement,3,16741.58823529411,16741.58823529411,100.0
2004,agriculture_01,agricultural,Irrigated agricultural land,2,3262.3882352941155,3262.3882352941155,100.0
2004,aoi_leh_immediate,aoi,Leh town and immediate surroundings,2,38054.058823529376,38054.058823529376,100.0
2004,natural_01,natural,Natural mountain,2,4310.784313725495,4310.784313725495,100.0
2004,urban_01,urban,Leh urban settlement,2,16741.58823529411,16741.58823529411,100.0
2005,agriculture_01,agricultural,Irrigated agricultural land,4,3262.3882352941155,3262.3882352941155,100.0
2005,aoi_leh_immediate,aoi,Leh town and immediate surroundings,4,38054.058823529376,38054.058823529376,100.0
2005,natural_01,natural,Natural mountain,4,4310.784313725495,4310.784313725495,100.0
2005,urban_01,urban,Leh urban settlement,4,16741.588235294108,16741.588235294108,100.0
2006,agriculture_01,agricultural,Irrigated agricultural land,6,3262.3882352941155,3262.3882352941155,100.0
2006,aoi_leh_immediate,aoi,Leh town and immediate surroundings,6,38054.058823529376,38054.058823529376,100.0
2006,natural_01,natural,Natural mountain,6,4310.784313725495,4310.784313725495,100.0
2006,urban_01,urban,Leh urban settlement,6,16741.58823529411,16741.58823529411,100.0
2007,agriculture_01,agricultural,Irrigated agricultural land,5,3262.3882352941155,3262.3882352941155,100.0
2007,aoi_leh_immediate,aoi,Leh town and immediate surroundings,5,38054.058823529376,38054.058823529376,100.0
2007,natural_01,natural,Natural mountain,5,4310.784313725495,4310.784313725495,100.0
2007,urban_01,urban,Leh urban settlement,5,16741.58823529411,16741.58823529411,100.0
2008,agriculture_01,agricultural,Irrigated agricultural land,11,3262.3882352941155,3262.3882352941155,100.0
2008,aoi_leh_immediate,aoi,Leh town and immediate surroundings,11,38054.058823529376,38054.058823529376,100.0
2008,natural_01,natural,Natural mountain,11,4310.784313725495,4310.784313725495,100.0
2008,urban_01,urban,Leh urban settlement,11,16741.58823529411,16741.58823529411,100.0
2009,agriculture_01,agricultural,Irrigated agricultural land,15,3262.3882352941155,3262.3882352941155,100.0
2009,aoi_leh_immediate,aoi,Leh town and immediate surroundings,15,38054.058823529376,38054.058823529376,100.0
2009,natural_01,natural,Natural mountain,15,4310.784313725495,4310.784313725495,100.0
2009,urban_01,urban,Leh urban settlement,15,16741.588235294108,16741.588235294108,100.0
2010,agriculture_01,agricultural,Irrigated agricultural land,8,3262.3882352941155,3262.3882352941155,100.0
2010,aoi_leh_immediate,aoi,Leh town and immediate surroundings,8,38054.058823529376,38054.058823529376,100.0
