zone_id,zone_type,zone_name,first_year,first_mean_ndvi,last_year,last_mean_ndvi,ndvi_change,ndvi_change_percent
agriculture_01,agricultural,Irrigated agricultural land,1990,0.1499604280755023,2025,0.5032239728161831,0.35326354474068083,235.57117652586265
aoi_leh_immediate,aoi,Leh town and immediate surroundings,1990,0.0697052611724742,2025,0.1578912782950987,0.08818601712262449,126.51271315722164
natural_01,natural,Natural mountain,1990,0.020742779450637,2025,0.061846309926859,0.041103530476222006,198.1582582702519
urban_01,urban,Leh urban settlement,1990,0.1000662582111634,2025,0.1903440993940742,0.09027784118291081,90.21806430735452
