count,max,mean,median,min,name,stdDev,year,zone_id,zone_type
38584,0.7613018155097961,0.14198481073883043,0.06429587482710672,-0.18570193648338318,Leh town and immediate surroundings,0.14731920071269416,2022,aoi_leh_immediate,aoi
4626,0.271367609500885,0.05152088176933346,0.04988092256848307,0.004276197869330645,Natural mountain,0.01595785805826407,2022,natural_01,natural
17427,0.742237389087677,0.17237793992328046,0.10358560567630849,-0.05298217386007309,Leh urban settlement,0.14235909287132997,2022,urban_01,urban
3508,0.7612772583961487,0.4651918224934956,0.47843292524699604,-0.12774500250816345,Irrigated agricultural land,0.13458077015655126,2023,agriculture_01,agricultural
38584,0.728188157081604,0.15120853196693887,0.07384853618578995,-0.2721569836139679,Leh town and immediate surroundings,0.1507478352308716,2023,aoi_leh_immediate,aoi
4626,0.24351319670677185,0.06028548302392398,0.059072544224546414,0.012334269471466541,Natural mountain,0.01603979568421184,2023,natural_01,natural
17427,0.728188157081604,0.18255479546145986,0.11131620443856234,-0.06255275011062622,Leh urban settlement,0.1488116079065484,2023,urban_01,urban
3508,0.819474458694458,0.5095059898717017,0.527251301785541,-0.22316525876522064,Irrigated agricultural land,0.1571470820216182,2024,agriculture_01,agricultural
38584,0.8239979147911072,0.15408482141325533,0.07391907843092685,-0.4290104806423187,Leh town and immediate surroundings,0.15991064741941302,2024,aoi_leh_immediate,aoi
4626,0.2688466012477875,0.05789919874405331,0.05561573891431102,0.0075605777092278,Natural mountain,0.017604587806667325,2024,natural_01,natural
17427,0.8239979147911072,0.1838877706949917,0.11526196834245198,-0.06527985632419586,Leh urban settlement,0.15251160322865256,2024,urban_01,urban
3508,0.8036342263221741,0.5032239728161831,0.5196134307001878,-0.33548107743263245,Irrigated agricultural land,0.1443865767417356,2025,agriculture_01,agricultural
38584,0.8223732709884644,0.15789127829509872,0.07402578668083402,-0.3567856252193451,Leh town and immediate surroundings,0.1622987562008826,2025,aoi_leh_immediate,aoi
4626,0.3341621160507202,0.06184630992685901,0.0595918928440698,0.014609831385314465,Natural mountain,0.019294628008173303,2025,natural_01,natural
17427,0.8223732709884644,0.19034409939407423,0.11941503863910725,-0.06905102729797363,Leh urban settlement,0.15703569941396336,2025,urban_01,urban
